Elfenname,Schicht,Standort,Schichtleiter, Alarm (in minuten)
Silberglanz,5-14,Glitzerwald,Knecht Hubrecht,2
Sternenlicht,frei,Sternenlichttannen,None,None
Elariel,7-16,Mondlichttal,Weihnachtsmann,6
Morgentau,7-16,Kristallklippen,Weihnachtsmann,7
Zephyrion,10-19,Nebelberg,Weihnachtsmann,2
Winterfrost,10-19,Glitzerwald,Knecht Hubrecht,3
Mondschatten,10-19,Sternenlichttannen,Knecht Hubrecht,6
Kristallina,15-0,Mondlichttal,Weihnachtsmann,5
Nebelherz,15-0,Kristallklippen,Weihnachtsmann,8
Glitzerfunke,frei,Nebelberg,None,None
