Elfenname,Schicht,Standort,Schichtleiter, Alarm (in minuten)
Silberglanz,3-12,Glitzerwald,Knecht Hubrecht,9
Sternenlicht,4-13,Sternenlichttannen,Weihnachtsmann,3
Elariel,5-18,Mondlichttal,Knecht Hubrecht,8
Morgentau,5-14,Kristallklippen,Weihnachtsmann,7
Zephyrion,8-19,Nebelberg,Weihnachtsmann,2
Winterfrost,13-21,Glitzerwald,Knecht Hubrecht,3
Mondschatten,13-21,Sternenlichttannen,Knecht Hubrecht,6
Kristallina,18-19,Mondlichttal,Weihnachtsmann,5
Nebelherz,10-19,Kristallklippen,Weihnachtsmann,8
Glitzerfunke,frei,Nebelberg,None,None
